row_group,lane,row,fixed_i32,identity_expected_i32,fixture_case
0,9,9,169,8,qproj_rg00
1,6,22,-4,3,qproj_rg01
1,13,29,-8,1,qproj_rg01
1,15,31,151,11,qproj_rg01
3,0,48,-3,-2,qproj_rg03
3,11,59,-45,1,qproj_rg03
4,1,65,-79,-4,qproj_rg04
5,2,82,154,6,qproj_rg05
5,13,93,2,-2,qproj_rg05
5,14,94,123,8,qproj_rg05
6,3,99,-15,0,qproj_rg06
6,6,102,-115,-8,qproj_rg06
6,7,103,-95,-10,qproj_rg06
6,10,106,-255,-7,qproj_rg06
7,7,119,191,8,qproj_rg07
7,10,122,-136,-6,qproj_rg07
8,3,131,71,3,qproj_rg08
8,15,143,36,2,qproj_rg08
9,0,144,50,5,qproj_rg09
10,11,171,177,12,qproj_rg10
10,15,175,126,4,qproj_rg10
11,0,176,50,2,qproj_rg11
11,4,180,-70,-4,qproj_rg11
11,9,185,42,1,qproj_rg11
12,3,195,-238,-6,qproj_rg12
13,6,214,-294,-9,qproj_rg13
14,6,230,75,6,qproj_rg14
14,8,232,92,3,qproj_rg14
15,15,255,-153,-7,qproj_rg15
17,4,276,243,9,qproj_rg17
17,10,282,301,11,qproj_rg17
18,9,297,-22,-1,qproj_rg18
18,12,300,-87,-4,qproj_rg18
20,12,332,-73,-3,qproj_rg20
21,1,337,163,8,qproj_rg21
21,8,344,-97,-3,qproj_rg21
22,4,356,43,2,qproj_rg22
22,11,363,261,11,qproj_rg22
23,13,381,-240,-13,qproj_rg23
24,1,385,-66,-2,qproj_rg24
25,2,402,94,6,qproj_rg25
25,11,411,-348,-15,qproj_rg25
25,13,413,35,3,qproj_rg25
26,11,427,578,14,qproj_rg26
27,15,447,-14,0,qproj_rg27
28,9,457,-279,-12,qproj_rg28
30,0,480,347,12,qproj_rg30
31,6,502,37,2,qproj_rg31
31,14,510,-37,-2,qproj_rg31
32,3,515,-205,-16,qproj_rg32
33,1,529,149,11,qproj_rg33
33,12,540,-226,-14,qproj_rg33
34,8,552,43,4,qproj_rg34
35,7,567,-149,-8,qproj_rg35
