case,row_group,affected_lanes,affected_rows,in_features,out_features,blocks,packet_bytes,axis128_beats,expected_tlast_beat,identity_scale_q,fixture_dir
qproj_rg00,0,9,9,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg00
qproj_rg01,1,6|13|15,22|29|31,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg01
qproj_rg03,3,0|11,48|59,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg03
qproj_rg04,4,1,65,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg04
qproj_rg05,5,2|13|14,82|93|94,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg05
qproj_rg06,6,3|6|7|10,99|102|103|106,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg06
qproj_rg07,7,7|10,119|122,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg07
qproj_rg08,8,3|15,131|143,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg08
qproj_rg09,9,0,144,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg09
qproj_rg10,10,11|15,171|175,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg10
qproj_rg11,11,0|4|9,176|180|185,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg11
qproj_rg12,12,3,195,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg12
qproj_rg13,13,6,214,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg13
qproj_rg14,14,6|8,230|232,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg14
qproj_rg15,15,15,255,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg15
qproj_rg17,17,4|10,276|282,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg17
qproj_rg18,18,9|12,297|300,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg18
qproj_rg20,20,12,332,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg20
qproj_rg21,21,1|8,337|344,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg21
qproj_rg22,22,4|11,356|363,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg22
qproj_rg23,23,13,381,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg23
qproj_rg24,24,1,385,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg24
qproj_rg25,25,2|11|13,402|411|413,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg25
qproj_rg26,26,11,427,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg26
qproj_rg27,27,15,447,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg27
qproj_rg28,28,9,457,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg28
qproj_rg30,30,0,480,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg30
qproj_rg31,31,6|14,502|510,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg31
qproj_rg32,32,3,515,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg32
qproj_rg33,33,1|12,529|540,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg33
qproj_rg34,34,8,552,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg34
qproj_rg35,35,7,567,576,16,18,10368,648,647,256,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg35
