word_index byte_offset role scale_lane weight_col lane_base tdata_hex software_expected_tlast
000 0000 scale 0 - - 0x00040000 0
001 0004 scale 1 - - 0x00080000 0
002 0008 scale 2 - - 0x00020000 0
003 0012 scale 3 - - 0x00000000 0
004 0016 scale 4 - - 0x00000000 0
005 0020 scale 5 - - 0x00000000 0
006 0024 scale 6 - - 0x00000000 0
007 0028 scale 7 - - 0x00000000 0
008 0032 scale 8 - - 0x00000000 0
009 0036 scale 9 - - 0x00000000 0
010 0040 scale 10 - - 0x00000000 0
011 0044 scale 11 - - 0x00000000 0
012 0048 scale 12 - - 0x00000000 0
013 0052 scale 13 - - 0x00000000 0
014 0056 scale 14 - - 0x00000000 0
015 0060 scale 15 - - 0x00000000 0
016 0064 weight - 0 0 0x00000201 0
017 0068 weight - 0 4 0x00000000 0
018 0072 weight - 0 8 0x00000000 0
019 0076 weight - 0 12 0x00000000 0
020 0080 weight - 1 0 0x0001fe02 0
021 0084 weight - 1 4 0x00000000 0
022 0088 weight - 1 8 0x00000000 0
023 0092 weight - 1 12 0x00000000 0
024 0096 weight - 2 0 0x00ff0203 0
025 0100 weight - 2 4 0x00000000 0
026 0104 weight - 2 8 0x00000000 0
027 0108 weight - 2 12 0x00000000 0
028 0112 weight - 3 0 0x0002fe04 0
029 0116 weight - 3 4 0x00000000 0
030 0120 weight - 3 8 0x00000000 0
031 0124 weight - 3 12 0x00000000 0
032 0128 weight - 4 0 0x00fe0205 0
033 0132 weight - 4 4 0x00000000 0
034 0136 weight - 4 8 0x00000000 0
035 0140 weight - 4 12 0x00000000 0
036 0144 weight - 5 0 0x0003fe06 0
037 0148 weight - 5 4 0x00000000 0
038 0152 weight - 5 8 0x00000000 0
039 0156 weight - 5 12 0x00000000 0
040 0160 weight - 6 0 0x00fd0207 0
041 0164 weight - 6 4 0x00000000 0
042 0168 weight - 6 8 0x00000000 0
043 0172 weight - 6 12 0x00000000 0
044 0176 weight - 7 0 0x0004fe08 0
045 0180 weight - 7 4 0x00000000 0
046 0184 weight - 7 8 0x00000000 0
047 0188 weight - 7 12 0x00000000 0
048 0192 weight - 8 0 0x00000209 0
049 0196 weight - 8 4 0x00000000 0
050 0200 weight - 8 8 0x00000000 0
051 0204 weight - 8 12 0x00000000 0
052 0208 weight - 9 0 0x0001fe0a 0
053 0212 weight - 9 4 0x00000000 0
054 0216 weight - 9 8 0x00000000 0
055 0220 weight - 9 12 0x00000000 0
056 0224 weight - 10 0 0x00ff020b 0
057 0228 weight - 10 4 0x00000000 0
058 0232 weight - 10 8 0x00000000 0
059 0236 weight - 10 12 0x00000000 0
060 0240 weight - 11 0 0x0002fe0c 0
061 0244 weight - 11 4 0x00000000 0
062 0248 weight - 11 8 0x00000000 0
063 0252 weight - 11 12 0x00000000 0
064 0256 weight - 12 0 0x00fe020d 0
065 0260 weight - 12 4 0x00000000 0
066 0264 weight - 12 8 0x00000000 0
067 0268 weight - 12 12 0x00000000 0
068 0272 weight - 13 0 0x0003fe0e 0
069 0276 weight - 13 4 0x00000000 0
070 0280 weight - 13 8 0x00000000 0
071 0284 weight - 13 12 0x00000000 0
072 0288 weight - 14 0 0x00fd020f 0
073 0292 weight - 14 4 0x00000000 0
074 0296 weight - 14 8 0x00000000 0
075 0300 weight - 14 12 0x00000000 0
076 0304 weight - 15 0 0x0004fe10 0
077 0308 weight - 15 4 0x00000000 0
078 0312 weight - 15 8 0x00000000 0
079 0316 weight - 15 12 0x00000000 0
080 0320 weight - 16 0 0x00000211 0
081 0324 weight - 16 4 0x00000000 0
082 0328 weight - 16 8 0x00000000 0
083 0332 weight - 16 12 0x00000000 0
084 0336 weight - 17 0 0x0001fe12 0
085 0340 weight - 17 4 0x00000000 0
086 0344 weight - 17 8 0x00000000 0
087 0348 weight - 17 12 0x00000000 0
