
root@Zybo-Z7-20:~# stty -echo
root@Zybo-Z7-20:~# __S06_FETCH_STTY__=0
root@Zybo-Z7-20:~# __CSV_BEGIN__
call_id,layer,role,tensor,backend,in_features,out_features,chunks,hw_jobs,fallback,input_saturations
1,0,q_proj,blk.0.attn_q.weight,fpga,576,576,1,36,0,0
2,0,k_proj,blk.0.attn_k.weight,fpga,576,192,1,12,0,0
3,0,v_proj,blk.0.attn_v.weight,fpga,576,192,1,12,0,0
4,0,o_proj,blk.0.attn_output.weight,fpga,576,576,1,36,0,315
5,0,gate_proj,blk.0.ffn_gate.weight,fpga,576,1536,1,96,0,0
6,0,up_proj,blk.0.ffn_up.weight,fpga,576,1536,1,96,0,0
7,0,down_proj,blk.0.ffn_down.weight,fpga,1536,576,3,108,0,128
8,1,q_proj,blk.1.attn_q.weight,fpga,576,576,1,36,0,0
9,1,k_proj,blk.1.attn_k.weight,fpga,576,192,1,12,0,0
10,1,v_proj,blk.1.attn_v.weight,fpga,576,192,1,12,0,0
11,1,o_proj,blk.1.attn_output.weight,fpga,576,576,1,36,0,27
12,1,gate_proj,blk.1.ffn_gate.weight,fpga,576,1536,1,96,0,0
13,1,up_proj,blk.1.ffn_up.weight,fpga,576,1536,1,96,0,0
14,1,down_proj,blk.1.ffn_down.weight,fpga,1536,576,3,108,0,117
15,2,q_proj,blk.2.attn_q.weight,fpga,576,576,1,36,0,0
16,2,k_proj,blk.2.attn_k.weight,fpga,576,192,1,12,0,0
17,2,v_proj,blk.2.attn_v.weight,fpga,576,192,1,12,0,0
18,2,o_proj,blk.2.attn_output.weight,fpga,576,576,1,36,0,0
19,2,gate_proj,blk.2.ffn_gate.weight,fpga,576,1536,1,96,0,0
20,2,up_proj,blk.2.ffn_up.weight,fpga,576,1536,1,96,0,0
21,2,down_proj,blk.2.ffn_down.weight,fpga,1536,576,3,108,0,15
22,3,q_proj,blk.3.attn_q.weight,fpga,576,576,1,36,0,0
23,3,k_proj,blk.3.attn_k.weight,fpga,576,192,1,12,0,0
24,3,v_proj,blk.3.attn_v.weight,fpga,576,192,1,12,0,0
25,3,o_proj,blk.3.attn_output.weight,fpga,576,576,1,36,0,6
26,3,gate_proj,blk.3.ffn_gate.weight,fpga,576,1536,1,96,0,0
27,3,up_proj,blk.3.ffn_up.weight,fpga,576,1536,1,96,0,0
28,3,down_proj,blk.3.ffn_down.weight,fpga,1536,576,3,108,0,55
29,4,q_proj,blk.4.attn_q.weight,fpga,576,576,1,36,0,0
30,4,k_proj,blk.4.attn_k.weight,fpga,576,192,1,12,0,0
31,4,v_proj,blk.4.attn_v.weight,fpga,576,192,1,12,0,0
32,4,o_proj,blk.4.attn_output.weight,fpga,576,576,1,36,0,6
33,4,gate_proj,blk.4.ffn_gate.weight,fpga,576,1536,1,96,0,0
34,4,up_proj,blk.4.ffn_up.weight,fpga,576,1536,1,96,0,0
35,4,down_proj,blk.4.ffn_down.weight,fpga,1536,576,3,108,0,36
36,5,q_proj,blk.5.attn_q.weight,fpga,576,576,1,36,0,0
37,5,k_proj,blk.5.attn_k.weight,fpga,576,192,1,12,0,0
38,5,v_proj,blk.5.attn_v.weight,fpga,576,192,1,12,0,0
39,5,o_proj,blk.5.attn_output.weight,fpga,576,576,1,36,0,12
40,5,gate_proj,blk.5.ffn_gate.weight,fpga,576,1536,1,96,0,0
41,5,up_proj,blk.5.ffn_up.weight,fpga,576,1536,1,96,0,0
42,5,down_proj,blk.5.ffn_down.weight,fpga,1536,576,3,108,0,56
43,6,q_proj,blk.6.attn_q.weight,fpga,576,576,1,36,0,0
44,6,k_proj,blk.6.attn_k.weight,fpga,576,192,1,12,0,0
45,6,v_proj,blk.6.attn_v.weight,fpga,576,192,1,12,0,0
46,6,o_proj,blk.6.attn_output.weight,fpga,576,576,1,36,0,3
47,6,gate_proj,blk.6.ffn_gate.weight,fpga,576,1536,1,96,0,0
48,6,up_proj,blk.6.ffn_up.weight,fpga,576,1536,1,96,0,0
49,6,down_proj,blk.6.ffn_down.weight,fpga,1536,576,3,108,0,66
50,7,q_proj,blk.7.attn_q.weight,fpga,576,576,1,36,0,0
51,7,k_proj,blk.7.attn_k.weight,fpga,576,192,1,12,0,0
52,7,v_proj,blk.7.attn_v.weight,fpga,576,192,1,12,0,0
53,7,o_proj,blk.7.attn_output.weight,fpga,576,576,1,36,0,9
54,7,gate_proj,blk.7.ffn_gate.weight,fpga,576,1536,1,96,0,0
55,7,up_proj,blk.7.ffn_up.weight,fpga,576,1536,1,96,0,0
56,7,down_proj,blk.7.ffn_down.weight,fpga,1536,576,3,108,0,68
57,8,q_proj,blk.8.attn_q.weight,fpga,576,576,1,36,0,0
58,8,k_proj,blk.8.attn_k.weight,fpga,576,192,1,12,0,0
