case,shape,pattern,blocks_per_row,packet_bytes,result,classification,first_mismatch,got,expected,elapsed_us,mm2s_sr,s2mm_sr,status,debug_row,debug_block,debug_lane,debug_in_count,debug_tlast_count
B_64x16_P5,64x16,P5,2,1152,FAIL,WEIGHT_BLOCK_PROGRESSION_FAIL,1,523,11,68,0x00001002,0x00001002,0x00000002,15,1,15,72,71
B_64x16_P5,64x16,P5,2,1152,FAIL,WEIGHT_BLOCK_PROGRESSION_FAIL,1,523,11,49,0x00001002,0x00001002,0x00000002,15,1,15,72,71
B_64x16_P5,64x16,P5,2,1152,FAIL,WEIGHT_BLOCK_PROGRESSION_FAIL,1,523,11,49,0x00001002,0x00001002,0x00000002,15,1,15,72,71
B_64x16_P5,64x16,P5,2,1152,FAIL,WEIGHT_BLOCK_PROGRESSION_FAIL,1,523,11,49,0x00001002,0x00001002,0x00000002,15,1,15,72,71
B_64x16_P5,64x16,P5,2,1152,FAIL,WEIGHT_BLOCK_PROGRESSION_FAIL,1,523,11,49,0x00001002,0x00001002,0x00000002,15,1,15,72,71
B_64x16_P5,64x16,P5,2,1152,FAIL,WEIGHT_BLOCK_PROGRESSION_FAIL,1,523,11,49,0x00001002,0x00001002,0x00000002,15,1,15,72,71
B_64x16_P5,64x16,P5,2,1152,FAIL,WEIGHT_BLOCK_PROGRESSION_FAIL,1,523,11,49,0x00001002,0x00001002,0x00000002,15,1,15,72,71
B_64x16_P5,64x16,P5,2,1152,FAIL,WEIGHT_BLOCK_PROGRESSION_FAIL,1,523,11,49,0x00001002,0x00001002,0x00000002,15,1,15,72,71
B_64x16_P5,64x16,P5,2,1152,FAIL,WEIGHT_BLOCK_PROGRESSION_FAIL,1,523,11,50,0x00001002,0x00001002,0x00000002,15,1,15,72,71
B_64x16_P5,64x16,P5,2,1152,FAIL,WEIGHT_BLOCK_PROGRESSION_FAIL,1,523,11,49,0x00001002,0x00001002,0x00000002,15,1,15,72,71
