case,shape,pattern,blocks_per_row,packet_bytes,result,classification,first_mismatch,got,expected,elapsed_us,mm2s_sr,s2mm_sr,status,debug_row,debug_block,debug_lane,debug_in_count,debug_tlast_count
A_32x16_P0,32x16,P0,1,576,FAIL,UNKNOWN_NEEDS_MORE_INSTRUMENTATION,2,1526131439,44,55,0x00001002,0x00001002,0x00000002,15,0,15,36,35
B_64x16_P0,64x16,P0,2,1152,FAIL,ROW_ACC_ACCUM_FAIL,2,1526131439,102,50,0x00001002,0x00001002,0x00000002,15,1,15,72,71
B_64x16_P1,64x16,P1,2,1152,FAIL,ROW_ACC_CLEAR_FAIL,2,1526655727,44,49,0x00001002,0x00001002,0x00000002,15,1,15,72,71
B_64x16_P2,64x16,P2,2,1152,FAIL,INPUT_ADDR_PROGRESSION_FAIL,2,1526655743,58,49,0x00001002,0x00001002,0x00000002,15,1,15,72,71
B_64x16_P3,64x16,P3,2,1152,FAIL,SCALE_BLOCK_PROGRESSION_FAIL,2,1526655727,160,49,0x00001002,0x00001002,0x00000002,15,1,15,72,71
B_64x16_P4,64x16,P4,2,1152,FAIL,INPUT_ADDR_PROGRESSION_FAIL,2,-11534628,-4,49,0x00001002,0x00001002,0x00000002,15,1,15,72,71
B_64x16_P5,64x16,P5,2,1152,FAIL,WEIGHT_BLOCK_PROGRESSION_FAIL,2,-11534627,-1,49,0x00001002,0x00001002,0x00000002,15,1,15,72,71
C_96x16_P0,96x16,P0,3,1728,FAIL,ROW_ACC_ACCUM_FAIL,2,1526131455,158,63,0x00001002,0x00001002,0x00000002,15,2,15,108,107
C_96x16_P1,96x16,P1,3,1728,FAIL,ROW_ACC_CLEAR_FAIL,2,1526131439,44,62,0x00001002,0x00001002,0x00000002,15,2,15,108,107
C_96x16_P2,96x16,P2,3,1728,FAIL,INPUT_ADDR_PROGRESSION_FAIL,2,1526131455,56,62,0x00001002,0x00001002,0x00000002,15,2,15,108,107
C_96x16_P3,96x16,P3,3,1728,FAIL,SCALE_BLOCK_PROGRESSION_FAIL,2,1526131695,384,63,0x00001002,0x00001002,0x00000002,15,2,15,108,107
D_512x16_P0,512x16,P0,16,9216,FAIL,ROW_ACC_ACCUM_FAIL,2,1526655743,549,265,0x00001002,0x00001002,0x00000002,15,15,15,576,575
E_576x16_P0,576x16,P0,18,10368,FAIL,ROW_ACC_ACCUM_FAIL,2,2063526655,553,282,0x00001002,0x00001002,0x00000002,15,17,15,648,647
E_576x16_P1,576x16,P1,18,10368,FAIL,ROW_ACC_CLEAR_FAIL,2,2063526655,44,320,0x00001002,0x00001002,0x00000002,15,17,15,648,647
E_576x16_P2,576x16,P2,18,10368,FAIL,INPUT_ADDR_PROGRESSION_FAIL,2,1526655727,6,309,0x00001002,0x00001002,0x00000002,15,17,15,648,647
E_576x16_P3,576x16,P3,18,10368,FAIL,SATURATION_FAIL,1,2147483647,-747,292,0x00001002,0x00001002,0x00000002,15,17,15,648,647
