case,shape,pattern,in_features,out_features,blocks_per_row,row_groups,packet_bytes,axis128_beats,expected_tlast_beat,dma_simple_limit_bytes,dma_full_transfer_possible,output0,output15,golden_dir
A_32x16_P0,32x16,P0,32,16,1,1,576,36,35,16383,true,15,-37,golden/s05_6_1_multiblock/A_32x16_P0
B_64x16_P0,64x16,P0,64,16,2,1,1152,72,71,16383,true,21,-75,golden/s05_6_1_multiblock/B_64x16_P0
B_64x16_P1,64x16,P1,64,16,2,1,1152,72,71,16383,true,15,-37,golden/s05_6_1_multiblock/B_64x16_P1
B_64x16_P2,64x16,P2,64,16,2,1,1152,72,71,16383,true,6,-38,golden/s05_6_1_multiblock/B_64x16_P2
B_64x16_P3,64x16,P3,64,16,2,1,1152,72,71,16383,true,27,-113,golden/s05_6_1_multiblock/B_64x16_P3
B_64x16_P4,64x16,P4,64,16,2,1,1152,72,71,16383,true,-2,11,golden/s05_6_1_multiblock/B_64x16_P4
B_64x16_P5,64x16,P5,64,16,2,1,1152,72,71,16383,true,30,11,golden/s05_6_1_multiblock/B_64x16_P5
C_96x16_P0,96x16,P0,96,16,3,1,1728,108,107,16383,true,19,-97,golden/s05_6_1_multiblock/C_96x16_P0
C_96x16_P1,96x16,P1,96,16,3,1,1728,108,107,16383,true,15,-37,golden/s05_6_1_multiblock/C_96x16_P1
C_96x16_P2,96x16,P2,96,16,3,1,1728,108,107,16383,true,-2,-22,golden/s05_6_1_multiblock/C_96x16_P2
C_96x16_P3,96x16,P3,96,16,3,1,1728,108,107,16383,true,19,-201,golden/s05_6_1_multiblock/C_96x16_P3
D_512x16_P0,512x16,P0,512,16,16,1,9216,576,575,16383,true,410,-259,golden/s05_6_1_multiblock/D_512x16_P0
D_512x16_P6,512x16,P6,512,16,16,1,9216,576,575,16383,true,179,6,golden/s05_6_1_multiblock/D_512x16_P6
D2_544x16_P6,544x16,P6,544,16,17,1,9792,612,611,16383,true,-44,-127,golden/s05_6_1_multiblock/D2_544x16_P6
E_576x16_P0,576x16,P0,576,16,18,1,10368,648,647,16383,true,524,-319,golden/s05_6_1_multiblock/E_576x16_P0
E_576x16_P1,576x16,P1,576,16,18,1,10368,648,647,16383,true,15,-37,golden/s05_6_1_multiblock/E_576x16_P1
E_576x16_P2,576x16,P2,576,16,18,1,10368,648,647,16383,true,58,-38,golden/s05_6_1_multiblock/E_576x16_P2
E_576x16_P3,576x16,P3,576,16,18,1,10368,648,647,16383,true,1272,-747,golden/s05_6_1_multiblock/E_576x16_P3
E_576x16_P6,576x16,P6,576,16,18,1,10368,648,647,16383,true,-35,-273,golden/s05_6_1_multiblock/E_576x16_P6
E_576x16_P7,576x16,P7,576,16,18,1,10368,648,647,16383,true,9,-146,golden/s05_6_1_multiblock/E_576x16_P7
E_576x16_P8,576x16,P8,576,16,18,1,10368,648,647,16383,true,-223,-133,golden/s05_6_1_multiblock/E_576x16_P8
E_576x16_P9,576x16,P9,576,16,18,1,10368,648,647,16383,true,-214,-279,golden/s05_6_1_multiblock/E_576x16_P9
F_1536x16_DEFER_DMA_LENGTH,1536x16,DEFER_DMA_LENGTH,1536,16,48,1,27648,1728,1727,16383,false,DEFER,DEFER,DEFER_S05_6_2_DMA_LENGTH_WIDTH
