case,shape,pattern,blocks_per_row,packet_bytes,result,classification,first_mismatch,got,expected,elapsed_us,mm2s_sr,s2mm_sr,status,debug_row,debug_block,debug_lane,debug_in_count,debug_tlast_count
A_32x16_P0,32x16,P0,1,576,PASS,PASS,0,0,0,59,0x00001002,0x00001002,0x00000002,15,0,15,36,35
B_64x16_P0,64x16,P0,2,1152,PASS,PASS,0,0,0,53,0x00001002,0x00001002,0x00000002,15,1,15,72,71
B_64x16_P1,64x16,P1,2,1152,PASS,PASS,0,0,0,52,0x00001002,0x00001002,0x00000002,15,1,15,72,71
B_64x16_P2,64x16,P2,2,1152,PASS,PASS,0,0,0,52,0x00001002,0x00001002,0x00000002,15,1,15,72,71
B_64x16_P3,64x16,P3,2,1152,PASS,PASS,0,0,0,52,0x00001002,0x00001002,0x00000002,15,1,15,72,71
B_64x16_P4,64x16,P4,2,1152,PASS,PASS,0,0,0,52,0x00001002,0x00001002,0x00000002,15,1,15,72,71
B_64x16_P5,64x16,P5,2,1152,PASS,PASS,0,0,0,52,0x00001002,0x00001002,0x00000002,15,1,15,72,71
C_96x16_P0,96x16,P0,3,1728,PASS,PASS,0,0,0,69,0x00001002,0x00001002,0x00000002,15,2,15,108,107
C_96x16_P1,96x16,P1,3,1728,PASS,PASS,0,0,0,69,0x00001002,0x00001002,0x00000002,15,2,15,108,107
C_96x16_P2,96x16,P2,3,1728,PASS,PASS,0,0,0,69,0x00001002,0x00001002,0x00000002,15,2,15,108,107
C_96x16_P3,96x16,P3,3,1728,PASS,PASS,0,0,0,69,0x00001002,0x00001002,0x00000002,15,2,15,108,107
D_512x16_P0,512x16,P0,16,9216,PASS,PASS,0,0,0,265,0x00001002,0x00001002,0x00000002,15,15,15,576,575
D_512x16_P6,512x16,P6,16,9216,PASS,PASS,0,0,0,258,0x00001002,0x00001002,0x00000002,15,15,15,576,575
D2_544x16_P6,544x16,P6,17,9792,PASS,PASS,0,0,0,274,0x00001002,0x00001002,0x00000002,15,16,15,612,611
E_576x16_P0,576x16,P0,18,10368,PASS,PASS,0,0,0,291,0x00001002,0x00001002,0x00000002,15,17,15,648,647
E_576x16_P1,576x16,P1,18,10368,PASS,PASS,0,0,0,287,0x00001002,0x00001002,0x00000002,15,17,15,648,647
E_576x16_P2,576x16,P2,18,10368,PASS,PASS,0,0,0,287,0x00001002,0x00001002,0x00000002,15,17,15,648,647
E_576x16_P3,576x16,P3,18,10368,PASS,PASS,0,0,0,287,0x00001002,0x00001002,0x00000002,15,17,15,648,647
E_576x16_P6,576x16,P6,18,10368,PASS,PASS,0,0,0,287,0x00001002,0x00001002,0x00000002,15,17,15,648,647
E_576x16_P7,576x16,P7,18,10368,PASS,PASS,0,0,0,287,0x00001002,0x00001002,0x00000002,15,17,15,648,647
E_576x16_P8,576x16,P8,18,10368,PASS,PASS,0,0,0,287,0x00001002,0x00001002,0x00000002,15,17,15,648,647
E_576x16_P9,576x16,P9,18,10368,PASS,PASS,0,0,0,287,0x00001002,0x00001002,0x00000002,15,17,15,648,647
