tensor_name,target,in_features,out_features,blocks_per_row,row_groups,rowgroup_packet_bytes,current_dma_limit_ok,needs_chunking,required_btt_width_bits
blk.0.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.0.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.0.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.0.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.0.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.0.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.0.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.1.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.1.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.1.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.1.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.1.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.1.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.1.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.2.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.2.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.2.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.2.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.2.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.2.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.2.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
blk.3.attn_q.weight,q_proj,576,576,18,36,10368,true,false,14
blk.3.attn_k.weight,k_proj,576,192,18,12,10368,true,false,14
blk.3.attn_v.weight,v_proj,576,192,18,12,10368,true,false,14
blk.3.attn_output.weight,o_proj,576,576,18,36,10368,true,false,14
blk.3.ffn_gate.weight,gate_proj,576,1536,18,96,10368,true,false,14
blk.3.ffn_up.weight,up_proj,576,1536,18,96,10368,true,false,14
blk.3.ffn_down.weight,down_proj,1536,576,48,36,27648,false,true,15
