tensor_name,target,in_features,out_features,row_groups,original_rowgroup_packet_bytes,chunk_count,chunk_in_features,chunk_packet_bytes,dma_limit_ok,cpu_accumulation_required
blk.0.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.0.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.0.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.0.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.0.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.0.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.0.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.1.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.1.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.1.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.1.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.1.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.1.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.1.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.2.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.2.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.2.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.2.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.2.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.2.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.2.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.3.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.3.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.3.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.3.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.3.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.3.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.3.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.4.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.4.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.4.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.4.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.4.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.4.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.4.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.5.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.5.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.5.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
