layer,role,tensor_name,dtype,in_features,out_features,chunk_policy,gguf_offset,gguf_nbytes,dispatch
0,down_proj,blk.0.ffn_down.weight,Q8_0,1536,576,512+512+512,31868992,940032,gemv_backend_run
0,gate_proj,blk.0.ffn_gate.weight,Q8_0,576,1536,none,32809024,940032,gemv_backend_run
0,k_proj,blk.0.attn_k.weight,Q8_0,576,192,none,34691392,117504,gemv_backend_run
0,o_proj,blk.0.attn_output.weight,Q8_0,576,576,none,34808896,352512,gemv_backend_run
0,q_proj,blk.0.attn_q.weight,Q8_0,576,576,none,35161408,352512,gemv_backend_run
0,up_proj,blk.0.ffn_up.weight,Q8_0,576,1536,none,33749056,940032,gemv_backend_run
0,v_proj,blk.0.attn_v.weight,Q8_0,576,192,none,35513920,117504,gemv_backend_run
1,down_proj,blk.1.ffn_down.weight,Q8_0,1536,576,512+512+512,35633728,940032,gemv_backend_run
1,gate_proj,blk.1.ffn_gate.weight,Q8_0,576,1536,none,36573760,940032,gemv_backend_run
1,k_proj,blk.1.attn_k.weight,Q8_0,576,192,none,38456128,117504,gemv_backend_run
1,o_proj,blk.1.attn_output.weight,Q8_0,576,576,none,38573632,352512,gemv_backend_run
1,q_proj,blk.1.attn_q.weight,Q8_0,576,576,none,38926144,352512,gemv_backend_run
1,up_proj,blk.1.ffn_up.weight,Q8_0,576,1536,none,37513792,940032,gemv_backend_run
1,v_proj,blk.1.attn_v.weight,Q8_0,576,192,none,39278656,117504,gemv_backend_run
2,down_proj,blk.2.ffn_down.weight,Q8_0,1536,576,512+512+512,77045824,940032,gemv_backend_run
2,gate_proj,blk.2.ffn_gate.weight,Q8_0,576,1536,none,77985856,940032,gemv_backend_run
2,k_proj,blk.2.attn_k.weight,Q8_0,576,192,none,79868224,117504,gemv_backend_run
2,o_proj,blk.2.attn_output.weight,Q8_0,576,576,none,79985728,352512,gemv_backend_run
2,q_proj,blk.2.attn_q.weight,Q8_0,576,576,none,80338240,352512,gemv_backend_run
2,up_proj,blk.2.ffn_up.weight,Q8_0,576,1536,none,78925888,940032,gemv_backend_run
2,v_proj,blk.2.attn_v.weight,Q8_0,576,192,none,80690752,117504,gemv_backend_run
3,down_proj,blk.3.ffn_down.weight,Q8_0,1536,576,512+512+512,118457920,940032,gemv_backend_run
3,gate_proj,blk.3.ffn_gate.weight,Q8_0,576,1536,none,119397952,940032,gemv_backend_run
3,k_proj,blk.3.attn_k.weight,Q8_0,576,192,none,121280320,117504,gemv_backend_run
3,o_proj,blk.3.attn_output.weight,Q8_0,576,576,none,121397824,352512,gemv_backend_run
3,q_proj,blk.3.attn_q.weight,Q8_0,576,576,none,121750336,352512,gemv_backend_run
3,up_proj,blk.3.ffn_up.weight,Q8_0,576,1536,none,120337984,940032,gemv_backend_run
3,v_proj,blk.3.attn_v.weight,Q8_0,576,192,none,122102848,117504,gemv_backend_run
4,down_proj,blk.4.ffn_down.weight,Q8_0,1536,576,512+512+512,122222656,940032,gemv_backend_run
4,gate_proj,blk.4.ffn_gate.weight,Q8_0,576,1536,none,123162688,940032,gemv_backend_run
4,k_proj,blk.4.attn_k.weight,Q8_0,576,192,none,125045056,117504,gemv_backend_run
4,o_proj,blk.4.attn_output.weight,Q8_0,576,576,none,125162560,352512,gemv_backend_run
4,q_proj,blk.4.attn_q.weight,Q8_0,576,576,none,125515072,352512,gemv_backend_run
4,up_proj,blk.4.ffn_up.weight,Q8_0,576,1536,none,124102720,940032,gemv_backend_run
4,v_proj,blk.4.attn_v.weight,Q8_0,576,192,none,125867584,117504,gemv_backend_run
5,down_proj,blk.5.ffn_down.weight,Q8_0,1536,576,512+512+512,125987392,940032,gemv_backend_run
5,gate_proj,blk.5.ffn_gate.weight,Q8_0,576,1536,none,126927424,940032,gemv_backend_run
5,k_proj,blk.5.attn_k.weight,Q8_0,576,192,none,128809792,117504,gemv_backend_run
5,o_proj,blk.5.attn_output.weight,Q8_0,576,576,none,128927296,352512,gemv_backend_run
5,q_proj,blk.5.attn_q.weight,Q8_0,576,576,none,129279808,352512,gemv_backend_run
5,up_proj,blk.5.ffn_up.weight,Q8_0,576,1536,none,127867456,940032,gemv_backend_run
5,v_proj,blk.5.attn_v.weight,Q8_0,576,192,none,129632320,117504,gemv_backend_run
6,down_proj,blk.6.ffn_down.weight,Q8_0,1536,576,512+512+512,129752128,940032,gemv_backend_run
6,gate_proj,blk.6.ffn_gate.weight,Q8_0,576,1536,none,130692160,940032,gemv_backend_run
6,k_proj,blk.6.attn_k.weight,Q8_0,576,192,none,132574528,117504,gemv_backend_run
6,o_proj,blk.6.attn_output.weight,Q8_0,576,576,none,132692032,352512,gemv_backend_run
6,q_proj,blk.6.attn_q.weight,Q8_0,576,576,none,133044544,352512,gemv_backend_run
6,up_proj,blk.6.ffn_up.weight,Q8_0,576,1536,none,131632192,940032,gemv_backend_run
6,v_proj,blk.6.attn_v.weight,Q8_0,576,192,none,133397056,117504,gemv_backend_run
7,down_proj,blk.7.ffn_down.weight,Q8_0,1536,576,512+512+512,133516864,940032,gemv_backend_run
7,gate_proj,blk.7.ffn_gate.weight,Q8_0,576,1536,none,134456896,940032,gemv_backend_run
7,k_proj,blk.7.attn_k.weight,Q8_0,576,192,none,136339264,117504,gemv_backend_run
7,o_proj,blk.7.attn_output.weight,Q8_0,576,576,none,136456768,352512,gemv_backend_run
7,q_proj,blk.7.attn_q.weight,Q8_0,576,576,none,136809280,352512,gemv_backend_run
7,up_proj,blk.7.ffn_up.weight,Q8_0,576,1536,none,135396928,940032,gemv_backend_run
7,v_proj,blk.7.attn_v.weight,Q8_0,576,192,none,137161792,117504,gemv_backend_run
8,down_proj,blk.8.ffn_down.weight,Q8_0,1536,576,512+512+512,137281600,940032,gemv_backend_run
8,gate_proj,blk.8.ffn_gate.weight,Q8_0,576,1536,none,138221632,940032,gemv_backend_run
8,k_proj,blk.8.attn_k.weight,Q8_0,576,192,none,140104000,117504,gemv_backend_run
8,o_proj,blk.8.attn_output.weight,Q8_0,576,576,none,140221504,352512,gemv_backend_run
8,q_proj,blk.8.attn_q.weight,Q8_0,576,576,none,140574016,352512,gemv_backend_run
8,up_proj,blk.8.ffn_up.weight,Q8_0,576,1536,none,139161664,940032,gemv_backend_run
8,v_proj,blk.8.attn_v.weight,Q8_0,576,192,none,140926528,117504,gemv_backend_run
9,down_proj,blk.9.ffn_down.weight,Q8_0,1536,576,512+512+512,141046336,940032,gemv_backend_run
9,gate_proj,blk.9.ffn_gate.weight,Q8_0,576,1536,none,141986368,940032,gemv_backend_run
9,k_proj,blk.9.attn_k.weight,Q8_0,576,192,none,143868736,117504,gemv_backend_run
9,o_proj,blk.9.attn_output.weight,Q8_0,576,576,none,143986240,352512,gemv_backend_run
9,q_proj,blk.9.attn_q.weight,Q8_0,576,576,none,144338752,352512,gemv_backend_run
9,up_proj,blk.9.ffn_up.weight,Q8_0,576,1536,none,142926400,940032,gemv_backend_run
9,v_proj,blk.9.attn_v.weight,Q8_0,576,192,none,144691264,117504,gemv_backend_run
10,down_proj,blk.10.ffn_down.weight,Q8_0,1536,576,512+512+512,39398464,940032,gemv_backend_run
10,gate_proj,blk.10.ffn_gate.weight,Q8_0,576,1536,none,40338496,940032,gemv_backend_run
10,k_proj,blk.10.attn_k.weight,Q8_0,576,192,none,42220864,117504,gemv_backend_run
10,o_proj,blk.10.attn_output.weight,Q8_0,576,576,none,42338368,352512,gemv_backend_run
