row_group,lane,row,cpu_identity_i32,mixed_i32,duplicate_same_lane_i32,duplicate_lane0_i32,mixed_vs_cpu,duplicate_same_lane_vs_cpu,mixed_vs_duplicate,duplicate_good_lanes
0,9,9,8,2147483647,8,2147483647,0,1,0,15
1,6,22,3,3,3,2147483647,1,1,1,15
1,13,29,1,2147483647,1,1,0,1,0,16
1,15,31,11,2147483647,11,11,0,1,0,16
3,0,48,-2,2147483647,-2,-2,0,1,0,16
3,11,59,1,2147483647,1,1,0,1,0,16
4,1,65,-4,2147483647,-4,2147483647,0,1,0,15
5,2,82,6,6,6,6,1,1,1,16
5,13,93,-2,2147483647,-2,2147483647,0,1,0,15
5,14,94,8,2147483647,8,8,0,1,0,16
6,3,99,0,2147483647,0,0,0,1,0,16
6,6,102,-8,2147483647,-8,2147483647,0,1,0,15
6,7,103,-10,-10,-10,2147483647,1,1,1,15
6,10,106,-7,2147483647,-7,-7,0,1,0,16
7,7,119,8,8,8,2147483647,1,1,1,15
7,10,122,-6,2147483647,-6,2147483647,0,1,0,15
8,3,131,3,2147483647,3,3,0,1,0,16
8,15,143,2,2147483647,2,2,0,1,0,16
9,0,144,5,2147483647,2147483647,2147483647,0,0,1,15
10,11,171,12,2147483647,12,2147483647,0,1,0,15
10,15,175,4,2147483647,4,2147483647,0,1,0,15
11,0,176,2,2147483647,2147483647,2147483647,0,0,1,15
11,4,180,-4,2147483647,-4,-4,0,1,0,16
11,9,185,1,2147483647,1,2147483647,0,1,0,15
12,3,195,-6,2147483647,-6,2147483647,0,1,0,15
13,6,214,-9,-9,-9,2147483647,1,1,1,15
14,6,230,6,2147483647,6,2147483647,0,1,0,15
14,8,232,3,2147483647,3,2147483647,0,1,0,15
15,15,255,-7,2147483647,-7,2147483647,0,1,0,15
17,4,276,9,9,9,9,1,1,1,16
17,10,282,11,2147483647,11,11,0,1,0,16
18,9,297,-1,2147483647,-1,-1,0,1,0,16
18,12,300,-4,2147483647,-4,-4,0,1,0,16
20,12,332,-3,2147483647,-3,2147483647,0,1,0,15
21,1,337,8,2147483647,8,2147483647,0,1,0,15
21,8,344,-3,2147483647,-3,2147483647,0,1,0,15
22,4,356,2,2147483647,2,2147483647,0,1,0,15
22,11,363,11,2147483647,11,2147483647,0,1,0,15
23,13,381,-13,2147483647,-13,2147483647,0,1,0,15
24,1,385,-2,2147483647,-2,-2,0,1,0,16
25,2,402,6,2147483647,6,6,0,1,0,16
25,11,411,-15,2147483647,-15,2147483647,0,1,0,15
25,13,413,3,2147483647,3,2147483647,0,1,0,15
26,11,427,14,2147483647,14,2147483647,0,1,0,15
27,15,447,0,2147483647,0,0,0,1,0,16
28,9,457,-12,2147483647,-12,-12,0,1,0,16
30,0,480,12,2147483647,12,12,0,1,0,16
31,6,502,2,2147483647,2,2147483647,0,1,0,15
31,14,510,-2,2147483647,-2,2147483647,0,1,0,15
32,3,515,-16,2147483647,-16,2147483647,0,1,0,15
33,1,529,11,2147483647,11,11,0,1,0,16
33,12,540,-14,-14,-14,-14,1,1,1,16
34,8,552,4,2147483647,4,2147483647,0,1,0,15
35,7,567,-8,2147483647,-8,-8,0,1,0,16
