row_group,lane,row,block,cpu_block_acc_i32,mixed_lane_i32,duplicate_same_lane_i32,duplicate_lane0_i32,mixed_vs_cpu,duplicate_same_lane_vs_cpu,mixed_vs_duplicate,duplicate_good_lanes
0,9,9,0,3013,3013,3013,3013,1,1,1,16
0,9,9,1,-605,-605,-605,-605,1,1,1,16
0,9,9,2,1705,1705,1705,1705,1,1,1,16
0,9,9,3,595,595,595,595,1,1,1,16
0,9,9,4,-2,-2,-2,-2,1,1,1,16
0,9,9,5,-2011,-2011,-2011,-2011,1,1,1,16
0,9,9,6,1005,1005,1005,1005,1,1,1,16
0,9,9,7,8565,8565,8565,8565,1,1,1,16
0,9,9,8,4608,4608,4608,4608,1,1,1,16
0,9,9,9,6406,6406,6406,6406,1,1,1,16
0,9,9,10,4261,4261,4261,4261,1,1,1,16
0,9,9,11,5813,5813,5813,5813,1,1,1,16
0,9,9,12,4313,4313,4313,4313,1,1,1,16
0,9,9,13,59,59,59,59,1,1,1,16
0,9,9,14,-191,-191,-191,-191,1,1,1,16
0,9,9,15,-3261,-3261,-3261,-3261,1,1,1,16
0,9,9,16,-407,-407,-407,-407,1,1,1,16
0,9,9,17,-196,-196,-196,-196,1,1,1,16
1,6,22,0,-5788,-5788,-5788,-5788,1,1,1,16
1,6,22,1,4964,4964,4964,4964,1,1,1,16
1,6,22,2,-19,-19,-19,-19,1,1,1,16
1,6,22,3,2471,2471,2471,2471,1,1,1,16
1,6,22,4,-487,-487,-487,-487,1,1,1,16
1,6,22,5,-1755,-1755,-1755,-1755,1,1,1,16
1,6,22,6,-698,-698,-698,-698,1,1,1,16
1,6,22,7,2501,2501,2501,2501,1,1,1,16
1,6,22,8,-2687,-2687,-2687,-2687,1,1,1,16
1,6,22,9,2601,2601,2601,2601,1,1,1,16
1,6,22,10,-6614,-6614,-6614,-6614,1,1,1,16
1,6,22,11,4950,4950,4950,4950,1,1,1,16
1,6,22,12,-1937,-1937,-1937,-1937,1,1,1,16
1,6,22,13,1898,1898,1898,1898,1,1,1,16
1,6,22,14,2573,2573,2573,2573,1,1,1,16
1,6,22,15,3386,3386,3386,3386,1,1,1,16
1,6,22,16,1248,1248,1248,1248,1,1,1,16
1,6,22,17,-2,-2,-2,-2,1,1,1,16
1,13,29,0,7040,7040,7040,7040,1,1,1,16
1,13,29,1,979,979,979,979,1,1,1,16
1,13,29,2,-53,-53,-53,-53,1,1,1,16
1,13,29,3,1856,1856,1856,1856,1,1,1,16
1,13,29,4,-2736,-2736,-2736,-2736,1,1,1,16
1,13,29,5,1150,1150,1150,1150,1,1,1,16
1,13,29,6,-1463,-1463,-1463,-1463,1,1,1,16
1,13,29,7,-2142,-2142,-2142,-2142,1,1,1,16
1,13,29,8,866,866,866,866,1,1,1,16
1,13,29,9,-11927,-11927,-11927,-11927,1,1,1,16
1,13,29,10,-5666,-5666,-5666,-5666,1,1,1,16
1,13,29,11,-1466,-1466,-1466,-1466,1,1,1,16
1,13,29,12,-5254,-5254,-5254,-5254,1,1,1,16
1,13,29,13,2578,2578,2578,2578,1,1,1,16
1,13,29,14,12174,12174,12174,12174,1,1,1,16
1,13,29,15,3501,3501,3501,3501,1,1,1,16
1,13,29,16,2756,2756,2756,2756,1,1,1,16
1,13,29,17,-274,-274,-274,-274,1,1,1,16
1,15,31,0,8198,8198,8198,8198,1,1,1,16
1,15,31,1,2188,2188,2188,2188,1,1,1,16
1,15,31,2,-42,-42,-42,-42,1,1,1,16
1,15,31,3,836,836,836,836,1,1,1,16
1,15,31,4,-1355,-1355,-1355,-1355,1,1,1,16
1,15,31,5,1545,1545,1545,1545,1,1,1,16
1,15,31,6,-680,-680,-680,-680,1,1,1,16
1,15,31,7,6406,6406,6406,6406,1,1,1,16
1,15,31,8,4557,4557,4557,4557,1,1,1,16
1,15,31,9,510,510,510,510,1,1,1,16
1,15,31,10,-5077,-5077,-5077,-5077,1,1,1,16
1,15,31,11,2435,2435,2435,2435,1,1,1,16
1,15,31,12,-3552,-3552,-3552,-3552,1,1,1,16
1,15,31,13,1154,1154,1154,1154,1,1,1,16
1,15,31,14,12867,12867,12867,12867,1,1,1,16
1,15,31,15,12248,12248,12248,12248,1,1,1,16
1,15,31,16,-853,-853,-853,-853,1,1,1,16
1,15,31,17,-1487,-1487,-1487,-1487,1,1,1,16
3,0,48,0,10207,10207,10207,10207,1,1,1,16
3,0,48,1,-4315,-4315,-4315,-4315,1,1,1,16
3,0,48,2,1183,1183,1183,1183,1,1,1,16
3,0,48,3,-3682,-3682,-3682,-3682,1,1,1,16
3,0,48,4,672,672,672,672,1,1,1,16
3,0,48,5,1363,1363,1363,1363,1,1,1,16
3,0,48,6,-456,-456,-456,-456,1,1,1,16
3,0,48,7,2796,2796,2796,2796,1,1,1,16
3,0,48,8,-18,-18,-18,-18,1,1,1,16
3,0,48,9,-5979,-5979,-5979,-5979,1,1,1,16
3,0,48,10,-2390,-2390,-2390,-2390,1,1,1,16
3,0,48,11,-6863,-6863,-6863,-6863,1,1,1,16
3,0,48,12,-3406,-3406,-3406,-3406,1,1,1,16
3,0,48,13,-2075,-2075,-2075,-2075,1,1,1,16
3,0,48,14,962,962,962,962,1,1,1,16
3,0,48,15,11046,11046,11046,11046,1,1,1,16
3,0,48,16,2587,2587,2587,2587,1,1,1,16
3,0,48,17,-2983,-2983,-2983,-2983,1,1,1,16
3,11,59,0,16458,16458,16458,16458,1,1,1,16
3,11,59,1,-1958,-1958,-1958,-1958,1,1,1,16
3,11,59,2,-850,-850,-850,-850,1,1,1,16
3,11,59,3,-1052,-1052,-1052,-1052,1,1,1,16
3,11,59,4,-33,-33,-33,-33,1,1,1,16
3,11,59,5,478,478,478,478,1,1,1,16
3,11,59,6,-1523,-1523,-1523,-1523,1,1,1,16
3,11,59,7,-4893,-4893,-4893,-4893,1,1,1,16
3,11,59,8,-228,-228,-228,-228,1,1,1,16
3,11,59,9,2886,2886,2886,2886,1,1,1,16
3,11,59,10,-1469,-1469,-1469,-1469,1,1,1,16
3,11,59,11,-6492,-6492,-6492,-6492,1,1,1,16
3,11,59,12,-4041,-4041,-4041,-4041,1,1,1,16
3,11,59,13,-1098,-1098,-1098,-1098,1,1,1,16
3,11,59,14,4109,4109,4109,4109,1,1,1,16
3,11,59,15,941,941,941,941,1,1,1,16
3,11,59,16,175,175,175,175,1,1,1,16
3,11,59,17,-2690,-2690,-2690,-2690,1,1,1,16
4,1,65,0,772,772,772,772,1,1,1,16
4,1,65,1,-1635,-1635,-1635,-1635,1,1,1,16
4,1,65,2,602,602,602,602,1,1,1,16
4,1,65,3,-1433,-1433,-1433,-1433,1,1,1,16
4,1,65,4,999,999,999,999,1,1,1,16
4,1,65,5,-235,-235,-235,-235,1,1,1,16
4,1,65,6,-4809,-4809,-4809,-4809,1,1,1,16
4,1,65,7,-783,-783,-783,-783,1,1,1,16
4,1,65,8,4220,4220,4220,4220,1,1,1,16
4,1,65,9,-12693,-12693,-12693,-12693,1,1,1,16
4,1,65,10,3453,3453,3453,3453,1,1,1,16
4,1,65,11,3396,3396,3396,3396,1,1,1,16
4,1,65,12,-114,-114,-114,-114,1,1,1,16
4,1,65,13,-4783,-4783,-4783,-4783,1,1,1,16
4,1,65,14,1704,1704,1704,1704,1,1,1,16
4,1,65,15,-7254,-7254,-7254,-7254,1,1,1,16
4,1,65,16,-1210,-1210,-1210,-1210,1,1,1,16
4,1,65,17,-895,-895,-895,-895,1,1,1,16
