row_group,lane,row,block,col,kind,mixed_offset,duplicate_offset,mixed_value,duplicate_value,direct_value,match
0,9,9,0,-1,scale_q,36,36,5288,5288,5288,1
0,9,9,0,0,weight_i8,73,73,3,3,3,1
0,9,9,0,1,weight_i8,89,89,-31,-31,-31,1
0,9,9,0,2,weight_i8,105,105,60,60,60,1
0,9,9,0,3,weight_i8,121,121,77,77,77,1
0,9,9,0,4,weight_i8,137,137,-127,-127,-127,1
0,9,9,0,5,weight_i8,153,153,39,39,39,1
0,9,9,0,6,weight_i8,169,169,-11,-11,-11,1
0,9,9,0,7,weight_i8,185,185,-32,-32,-32,1
0,9,9,0,8,weight_i8,201,201,-39,-39,-39,1
0,9,9,0,9,weight_i8,217,217,-17,-17,-17,1
0,9,9,0,10,weight_i8,233,233,21,21,21,1
0,9,9,0,11,weight_i8,249,249,116,116,116,1
0,9,9,0,12,weight_i8,265,265,25,25,25,1
0,9,9,0,13,weight_i8,281,281,18,18,18,1
0,9,9,0,14,weight_i8,297,297,-3,-3,-3,1
0,9,9,0,15,weight_i8,313,313,-60,-60,-60,1
0,9,9,0,16,weight_i8,329,329,46,46,46,1
0,9,9,0,17,weight_i8,345,345,39,39,39,1
0,9,9,0,18,weight_i8,361,361,-9,-9,-9,1
0,9,9,0,19,weight_i8,377,377,-6,-6,-6,1
0,9,9,0,20,weight_i8,393,393,-2,-2,-2,1
0,9,9,0,21,weight_i8,409,409,3,3,3,1
0,9,9,0,22,weight_i8,425,425,13,13,13,1
0,9,9,0,23,weight_i8,441,441,120,120,120,1
0,9,9,0,24,weight_i8,457,457,-45,-45,-45,1
0,9,9,0,25,weight_i8,473,473,18,18,18,1
0,9,9,0,26,weight_i8,489,489,-10,-10,-10,1
0,9,9,0,27,weight_i8,505,505,16,16,16,1
0,9,9,0,28,weight_i8,521,521,8,8,8,1
0,9,9,0,29,weight_i8,537,537,13,13,13,1
0,9,9,0,30,weight_i8,553,553,27,27,27,1
0,9,9,0,31,weight_i8,569,569,110,110,110,1
0,9,9,1,-1,scale_q,612,612,4192,4192,4192,1
0,9,9,1,0,weight_i8,649,649,58,58,58,1
0,9,9,1,1,weight_i8,665,665,-71,-71,-71,1
0,9,9,1,2,weight_i8,681,681,-55,-55,-55,1
0,9,9,1,3,weight_i8,697,697,9,9,9,1
0,9,9,1,4,weight_i8,713,713,107,107,107,1
0,9,9,1,5,weight_i8,729,729,12,12,12,1
0,9,9,1,6,weight_i8,745,745,74,74,74,1
0,9,9,1,7,weight_i8,761,761,40,40,40,1
0,9,9,1,8,weight_i8,777,777,-14,-14,-14,1
0,9,9,1,9,weight_i8,793,793,14,14,14,1
0,9,9,1,10,weight_i8,809,809,127,127,127,1
0,9,9,1,11,weight_i8,825,825,-61,-61,-61,1
0,9,9,1,12,weight_i8,841,841,-93,-93,-93,1
0,9,9,1,13,weight_i8,857,857,-57,-57,-57,1
0,9,9,1,14,weight_i8,873,873,-6,-6,-6,1
0,9,9,1,15,weight_i8,889,889,111,111,111,1
0,9,9,1,16,weight_i8,905,905,1,1,1,1
0,9,9,1,17,weight_i8,921,921,24,24,24,1
0,9,9,1,18,weight_i8,937,937,-8,-8,-8,1
0,9,9,1,19,weight_i8,953,953,23,23,23,1
0,9,9,1,20,weight_i8,969,969,55,55,55,1
0,9,9,1,21,weight_i8,985,985,34,34,34,1
0,9,9,1,22,weight_i8,1001,1001,12,12,12,1
0,9,9,1,23,weight_i8,1017,1017,-9,-9,-9,1
0,9,9,1,24,weight_i8,1033,1033,-61,-61,-61,1
0,9,9,1,25,weight_i8,1049,1049,-9,-9,-9,1
0,9,9,1,26,weight_i8,1065,1065,29,29,29,1
0,9,9,1,27,weight_i8,1081,1081,5,5,5,1
0,9,9,1,28,weight_i8,1097,1097,32,32,32,1
0,9,9,1,29,weight_i8,1113,1113,38,38,38,1
0,9,9,1,30,weight_i8,1129,1129,15,15,15,1
0,9,9,1,31,weight_i8,1145,1145,74,74,74,1
0,9,9,2,-1,scale_q,1188,1188,4080,4080,4080,1
0,9,9,2,0,weight_i8,1225,1225,-11,-11,-11,1
0,9,9,2,1,weight_i8,1241,1241,-73,-73,-73,1
0,9,9,2,2,weight_i8,1257,1257,-64,-64,-64,1
0,9,9,2,3,weight_i8,1273,1273,-6,-6,-6,1
0,9,9,2,4,weight_i8,1289,1289,-73,-73,-73,1
0,9,9,2,5,weight_i8,1305,1305,-4,-4,-4,1
0,9,9,2,6,weight_i8,1321,1321,-64,-64,-64,1
0,9,9,2,7,weight_i8,1337,1337,5,5,5,1
0,9,9,2,8,weight_i8,1353,1353,51,51,51,1
0,9,9,2,9,weight_i8,1369,1369,15,15,15,1
0,9,9,2,10,weight_i8,1385,1385,13,13,13,1
0,9,9,2,11,weight_i8,1401,1401,-97,-97,-97,1
0,9,9,2,12,weight_i8,1417,1417,102,102,102,1
0,9,9,2,13,weight_i8,1433,1433,-46,-46,-46,1
0,9,9,2,14,weight_i8,1449,1449,6,6,6,1
0,9,9,2,15,weight_i8,1465,1465,34,34,34,1
0,9,9,2,16,weight_i8,1481,1481,86,86,86,1
0,9,9,2,17,weight_i8,1497,1497,5,5,5,1
0,9,9,2,18,weight_i8,1513,1513,-14,-14,-14,1
0,9,9,2,19,weight_i8,1529,1529,-127,-127,-127,1
0,9,9,2,20,weight_i8,1545,1545,15,15,15,1
0,9,9,2,21,weight_i8,1561,1561,33,33,33,1
0,9,9,2,22,weight_i8,1577,1577,-4,-4,-4,1
0,9,9,2,23,weight_i8,1593,1593,83,83,83,1
0,9,9,2,24,weight_i8,1609,1609,5,5,5,1
0,9,9,2,25,weight_i8,1625,1625,-99,-99,-99,1
0,9,9,2,26,weight_i8,1641,1641,18,18,18,1
0,9,9,2,27,weight_i8,1657,1657,50,50,50,1
0,9,9,2,28,weight_i8,1673,1673,-9,-9,-9,1
0,9,9,2,29,weight_i8,1689,1689,-57,-57,-57,1
0,9,9,2,30,weight_i8,1705,1705,-2,-2,-2,1
0,9,9,2,31,weight_i8,1721,1721,38,38,38,1
0,9,9,3,-1,scale_q,1764,1764,3822,3822,3822,1
0,9,9,3,0,weight_i8,1801,1801,27,27,27,1
0,9,9,3,1,weight_i8,1817,1817,17,17,17,1
0,9,9,3,2,weight_i8,1833,1833,-39,-39,-39,1
0,9,9,3,3,weight_i8,1849,1849,-30,-30,-30,1
0,9,9,3,4,weight_i8,1865,1865,-80,-80,-80,1
0,9,9,3,5,weight_i8,1881,1881,-99,-99,-99,1
0,9,9,3,6,weight_i8,1897,1897,83,83,83,1
0,9,9,3,7,weight_i8,1913,1913,127,127,127,1
0,9,9,3,8,weight_i8,1929,1929,-3,-3,-3,1
0,9,9,3,9,weight_i8,1945,1945,6,6,6,1
0,9,9,3,10,weight_i8,1961,1961,56,56,56,1
0,9,9,3,11,weight_i8,1977,1977,-100,-100,-100,1
0,9,9,3,12,weight_i8,1993,1993,-30,-30,-30,1
0,9,9,3,13,weight_i8,2009,2009,-92,-92,-92,1
0,9,9,3,14,weight_i8,2025,2025,43,43,43,1
0,9,9,3,15,weight_i8,2041,2041,1,1,1,1
0,9,9,3,16,weight_i8,2057,2057,44,44,44,1
0,9,9,3,17,weight_i8,2073,2073,-65,-65,-65,1
0,9,9,3,18,weight_i8,2089,2089,36,36,36,1
0,9,9,3,19,weight_i8,2105,2105,-51,-51,-51,1
0,9,9,3,20,weight_i8,2121,2121,38,38,38,1
0,9,9,3,21,weight_i8,2137,2137,10,10,10,1
0,9,9,3,22,weight_i8,2153,2153,-7,-7,-7,1
0,9,9,3,23,weight_i8,2169,2169,36,36,36,1
0,9,9,3,24,weight_i8,2185,2185,44,44,44,1
0,9,9,3,25,weight_i8,2201,2201,-63,-63,-63,1
0,9,9,3,26,weight_i8,2217,2217,125,125,125,1
0,9,9,3,27,weight_i8,2233,2233,73,73,73,1
0,9,9,3,28,weight_i8,2249,2249,-2,-2,-2,1
0,9,9,3,29,weight_i8,2265,2265,-10,-10,-10,1
0,9,9,3,30,weight_i8,2281,2281,50,50,50,1
0,9,9,3,31,weight_i8,2297,2297,125,125,125,1
0,9,9,4,-1,scale_q,2340,2340,4192,4192,4192,1
0,9,9,4,0,weight_i8,2377,2377,3,3,3,1
0,9,9,4,1,weight_i8,2393,2393,-2,-2,-2,1
0,9,9,4,2,weight_i8,2409,2409,72,72,72,1
0,9,9,4,3,weight_i8,2425,2425,8,8,8,1
0,9,9,4,4,weight_i8,2441,2441,-57,-57,-57,1
0,9,9,4,5,weight_i8,2457,2457,13,13,13,1
0,9,9,4,6,weight_i8,2473,2473,2,2,2,1
0,9,9,4,7,weight_i8,2489,2489,87,87,87,1
0,9,9,4,8,weight_i8,2505,2505,-67,-67,-67,1
0,9,9,4,9,weight_i8,2521,2521,-44,-44,-44,1
0,9,9,4,10,weight_i8,2537,2537,-25,-25,-25,1
0,9,9,4,11,weight_i8,2553,2553,-48,-48,-48,1
0,9,9,4,12,weight_i8,2569,2569,-4,-4,-4,1
0,9,9,4,13,weight_i8,2585,2585,-9,-9,-9,1
0,9,9,4,14,weight_i8,2601,2601,17,17,17,1
0,9,9,4,15,weight_i8,2617,2617,-42,-42,-42,1
0,9,9,4,16,weight_i8,2633,2633,-90,-90,-90,1
0,9,9,4,17,weight_i8,2649,2649,127,127,127,1
0,9,9,4,18,weight_i8,2665,2665,-52,-52,-52,1
0,9,9,4,19,weight_i8,2681,2681,-126,-126,-126,1
0,9,9,4,20,weight_i8,2697,2697,75,75,75,1
0,9,9,4,21,weight_i8,2713,2713,42,42,42,1
0,9,9,4,22,weight_i8,2729,2729,-22,-22,-22,1
0,9,9,4,23,weight_i8,2745,2745,-21,-21,-21,1
0,9,9,4,24,weight_i8,2761,2761,-5,-5,-5,1
0,9,9,4,25,weight_i8,2777,2777,112,112,112,1
0,9,9,4,26,weight_i8,2793,2793,-22,-22,-22,1
0,9,9,4,27,weight_i8,2809,2809,-16,-16,-16,1
0,9,9,4,28,weight_i8,2825,2825,49,49,49,1
0,9,9,4,29,weight_i8,2841,2841,-30,-30,-30,1
0,9,9,4,30,weight_i8,2857,2857,-5,-5,-5,1
0,9,9,4,31,weight_i8,2873,2873,-89,-89,-89,1
0,9,9,5,-1,scale_q,2916,2916,8064,8064,8064,1
0,9,9,5,0,weight_i8,2953,2953,-15,-15,-15,1
0,9,9,5,1,weight_i8,2969,2969,-14,-14,-14,1
0,9,9,5,2,weight_i8,2985,2985,48,48,48,1
0,9,9,5,3,weight_i8,3001,3001,15,15,15,1
0,9,9,5,4,weight_i8,3017,3017,6,6,6,1
0,9,9,5,5,weight_i8,3033,3033,-11,-11,-11,1
0,9,9,5,6,weight_i8,3049,3049,4,4,4,1
0,9,9,5,7,weight_i8,3065,3065,-39,-39,-39,1
0,9,9,5,8,weight_i8,3081,3081,24,24,24,1
0,9,9,5,9,weight_i8,3097,3097,36,36,36,1
0,9,9,5,10,weight_i8,3113,3113,41,41,41,1
0,9,9,5,11,weight_i8,3129,3129,24,24,24,1
0,9,9,5,12,weight_i8,3145,3145,-3,-3,-3,1
0,9,9,5,13,weight_i8,3161,3161,90,90,90,1
0,9,9,5,14,weight_i8,3177,3177,39,39,39,1
0,9,9,5,15,weight_i8,3193,3193,-9,-9,-9,1
0,9,9,5,16,weight_i8,3209,3209,-12,-12,-12,1
0,9,9,5,17,weight_i8,3225,3225,19,19,19,1
0,9,9,5,18,weight_i8,3241,3241,-127,-127,-127,1
0,9,9,5,19,weight_i8,3257,3257,-40,-40,-40,1
0,9,9,5,20,weight_i8,3273,3273,49,49,49,1
0,9,9,5,21,weight_i8,3289,3289,15,15,15,1
0,9,9,5,22,weight_i8,3305,3305,38,38,38,1
0,9,9,5,23,weight_i8,3321,3321,54,54,54,1
0,9,9,5,24,weight_i8,3337,3337,-9,-9,-9,1
0,9,9,5,25,weight_i8,3353,3353,20,20,20,1
0,9,9,5,26,weight_i8,3369,3369,-3,-3,-3,1
0,9,9,5,27,weight_i8,3385,3385,3,3,3,1
0,9,9,5,28,weight_i8,3401,3401,-5,-5,-5,1
0,9,9,5,29,weight_i8,3417,3417,-17,-17,-17,1
0,9,9,5,30,weight_i8,3433,3433,-22,-22,-22,1
0,9,9,5,31,weight_i8,3449,3449,-19,-19,-19,1
0,9,9,6,-1,scale_q,3492,3492,4836,4836,4836,1
0,9,9,6,0,weight_i8,3529,3529,-112,-112,-112,1
0,9,9,6,1,weight_i8,3545,3545,-33,-33,-33,1
0,9,9,6,2,weight_i8,3561,3561,20,20,20,1
0,9,9,6,3,weight_i8,3577,3577,47,47,47,1
0,9,9,6,4,weight_i8,3593,3593,-37,-37,-37,1
0,9,9,6,5,weight_i8,3609,3609,120,120,120,1
