run,role,calls,fpga_calls,cpu_fallbacks,fpga_rowgroup_jobs,fpga_chunk_jobs,fpga_repair_jobs,fpga_mode1_blockacc_calls,s2mm_output_bytes,input_saturations,fpga_time_ms,cpu_gemv_time_ms,cpu_scale_accum_ops,cpu_scale_accum_time_ms
raw_hello_16,q_proj,630,630,0,22680,22680,0,22680,26127360,0,11904.335,0.000,6531840,1235.509
raw_hello_16,k_proj,630,630,0,7560,7560,0,7560,8709120,0,4059.207,0.000,2177280,411.473
raw_hello_16,v_proj,630,630,0,7560,7560,0,7560,8709120,0,4058.183,0.000,2177280,411.336
raw_hello_16,o_proj,630,630,0,22680,22680,0,22680,26127360,0,11904.855,0.000,6531840,1236.374
raw_hello_16,gate_proj,630,630,0,60480,60480,0,60480,69672960,0,31514.101,0.000,17418240,3297.633
raw_hello_16,up_proj,630,630,0,60480,60480,0,60480,69672960,0,31516.594,0.000,17418240,3294.346
raw_hello_16,down_proj,630,630,0,68040,68040,0,68040,69672960,6,32127.622,0.000,17418240,3584.097
raw_hello_16,lm_head,16,16,0,49152,49152,0,49152,56623104,0,25454.232,0.000,14155776,2628.405
chat_hello_16,q_proj,1530,1530,0,55080,55080,0,55080,63452160,0,28907.451,0.000,15863040,2999.991
chat_hello_16,k_proj,1530,1530,0,18360,18360,0,18360,21150720,0,9855.859,0.000,5287680,999.819
chat_hello_16,v_proj,1530,1530,0,18360,18360,0,18360,21150720,0,9853.789,0.000,5287680,1000.094
chat_hello_16,o_proj,1530,1530,0,55080,55080,0,55080,63452160,0,28910.184,0.000,15863040,3003.043
chat_hello_16,gate_proj,1530,1530,0,146880,146880,0,146880,169205760,0,76532.263,0.000,42301440,8014.568
chat_hello_16,up_proj,1530,1530,0,146880,146880,0,146880,169205760,0,76528.069,0.000,42301440,8000.805
chat_hello_16,down_proj,1530,1530,0,165240,165240,0,165240,169205760,8,78025.531,0.000,42301440,8711.857
chat_hello_16,lm_head,16,16,0,49152,49152,0,49152,56623104,0,25474.857,0.000,14155776,2649.737
