row_group,lane,row,fixture_case,identity_expected_i32,board_mixed_i32,board_duplicate_same_lane_i32,board_duplicate_lane0_i32,mixed_vs_cpu,duplicate_same_lane_vs_cpu,mixed_vs_duplicate,duplicate_good_lanes,packet_equivalence,mode1_blockacc,onehot_mode0,simulation_status,fixture_dir
0,9,9,qproj_rg00,8,2147483647,8,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg00
1,6,22,qproj_rg01,3,3,3,2147483647,1,1,1,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg01
1,13,29,qproj_rg01,1,2147483647,1,1,0,1,0,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg01
1,15,31,qproj_rg01,11,2147483647,11,11,0,1,0,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg01
3,0,48,qproj_rg03,-2,2147483647,-2,-2,0,1,0,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg03
3,11,59,qproj_rg03,1,2147483647,1,1,0,1,0,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg03
4,1,65,qproj_rg04,-4,2147483647,-4,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg04
5,2,82,qproj_rg05,6,6,6,6,1,1,1,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg05
5,13,93,qproj_rg05,-2,2147483647,-2,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg05
5,14,94,qproj_rg05,8,2147483647,8,8,0,1,0,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg05
6,3,99,qproj_rg06,0,2147483647,0,0,0,1,0,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg06
6,6,102,qproj_rg06,-8,2147483647,-8,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg06
6,7,103,qproj_rg06,-10,-10,-10,2147483647,1,1,1,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg06
6,10,106,qproj_rg06,-7,2147483647,-7,-7,0,1,0,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg06
7,7,119,qproj_rg07,8,8,8,2147483647,1,1,1,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg07
7,10,122,qproj_rg07,-6,2147483647,-6,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg07
8,3,131,qproj_rg08,3,2147483647,3,3,0,1,0,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg08
