layer,point,len,cpu_min,cpu_max,cpu_mean,cpu_absmax,cpu_checksum,cpu_hash,fpga_min,fpga_max,fpga_mean,fpga_absmax,fpga_checksum,fpga_hash,checksum_abs_diff,mean_abs_diff,absmax_abs_diff,hash_match,large_divergence
-1,embedding_output,576,-0.498031616,0.406225204,0.00316934619,0.498031616,1.8255434,c2e5c2fbab4daf0c,-0.498031616,0.406225204,0.00316934619,0.498031616,1.8255434,c2e5c2fbab4daf0c,0.0,0.0,0.0,yes,no
0,after_input_rmsnorm,576,-0.510854781,0.576700091,0.00180824286,0.576700091,1.04154789,a378961d9fec528f,-0.510854781,0.576700091,0.00180824286,0.576700091,1.04154789,a378961d9fec528f,0.0,0.0,0.0,yes,no
0,q_proj_output,576,-7.39944601,4.43136311,-0.0595192881,7.39944601,-34.28311,09021a65d86413ff,-7.4296875,8388608.0,699050.603,8388608.0,402653147.0,a2cb9d626450a939,402653181.28311,699050.6625192881,8388600.60055399,no,yes
0,k_proj_output,192,-6.89074278,4.10310507,-0.144553689,6.89074278,-27.7543083,78fb4032a70db9e2,-6.91015625,8388608.0,611669.179,8388608.0,117440482.0,29bcacd808bece8e,117440509.7543083,611669.323553689,8388601.10925722,no,yes
0,v_proj_output,192,-0.241577595,0.299674392,0.00339766106,0.299674392,0.652350923,a8d6523649157380,-0.23828125,8388608.0,4456448.0,8388608.0,855638017.0,bf59ca3e47ca750e,855638016.3476491,4456447.996602339,8388607.700325608,no,yes
0,attention_output,576,-0.241577595,0.299674392,0.00339766106,0.299674392,1.95705277,79001d6b4704cef0,-0.23828125,8388608.0,4456448.0,8388608.0,2566914050.0,9d3e8768f8a3c7d6,2566914048.0429473,4456447.996602339,8388607.700325608,no,yes
0,o_proj_output,576,-2.08478808,0.42870605,-0.00525497666,2.08478808,-3.02686655,e89ad6199b1daca3,-247.273438,260.5,2.67969428,260.5,1543.50391,6af95603115b1079,1546.53077655,2.68494925666,258.41521192,no,yes
0,residual_after_attention,576,-2.11966968,0.33394435,-0.00208563049,2.11966968,-1.20132316,25ceaed17b06c461,-247.251343,260.558136,2.68286376,260.558136,1545.32953,44c7d86c1fa767a0,1546.5308531599999,2.68494939049,258.43846632,no,yes
0,after_post_attention_rmsnorm,576,-1.10981786,0.303899974,-0.00050002205,1.10981786,-0.288012701,81d483f7bc4f6765,-0.447542399,0.61600244,0.00563153918,0.61600244,3.24376657,4eb446882992ad90,3.531779271,0.00613156123,0.4938154199999999,no,yes
0,gate_proj_output,1536,-0.904022455,3.78825045,0.348433045,3.78825045,535.193158,ff91e7c91ade1caa,-2.25390625,8388608.0,447829.379,8388608.0,687865926.0,6a296de3b43d92fa,687865390.806842,447829.03056695504,8388604.21174955,no,yes
0,up_proj_output,1536,-1.33877969,2.08661485,0.0197172969,2.08661485,30.285768,83b8958aa2daf0c1,-1.6796875,8388608.0,496981.325,8388608.0,763363315.0,c2859d326a19cc93,763363284.714232,496981.30528270314,8388605.91338515,no,yes
0,silu_swiglu_output,1536,-3.95345759,7.72965717,0.0138406076,7.72965717,21.2591733,713d2dd4fcb3666a,-7634944.0,70368744200000.0,366503901000.0,70368744200000.0,562949991000000.0,56bbc5e3db61f1b8,562949990999978.8,366503900999.98615,70368744199992.27,no,yes
0,down_proj_output,576,-26.1087303,18.5463619,-0.122675978,26.1087303,-70.6613631,0b3753ce92314f2d,-1373.55469,8388608.0,87393.7245,8388608.0,50338785.3,c131901a499ee449,50338855.9613631,87393.847175978,8388581.8912697,no,yes
0,residual_after_mlp,576,-25.9847851,18.7736435,-0.124761607,25.9847851,-71.8626855,dcdb9363c122314f,-1459.51404,8388646.0,87396.4079,8388646.0,50340331.0,b5fe54fe9eecf308,50340402.8626855,87396.53266160701,8388620.0152149,no,yes
1,after_input_rmsnorm,576,-0.866513371,4.10411072,0.0017573154,4.10411072,1.01221367,8b1ff9e112090213,-0.00063218252,2.67915583,0.0180001897,2.67915583,10.3681093,a2a46c7eb41b7700,9.355895630000001,0.016242874299999998,1.4249548900000004,no,yes
1,q_proj_output,576,-10.5721693,16.0031624,0.00304319044,16.0031624,1.75287769,0c7d35789ebe58c2,-3.859375,8388608.0,14563.5357,8388608.0,8388596.56,56e12ff0c2f783df,8388594.80712231,14563.53265680956,8388591.9968376,no,yes
1,k_proj_output,192,-11.474865,12.5517015,0.0123908446,12.5517015,2.37904216,5e1dd2276ac88e17,-4.09765625,7.4765625,0.117675781,7.4765625,22.59375,a39a80a1e5184f87,20.21470784,0.1052849364,5.075139,no,yes
1,v_proj_output,192,-0.958395839,3.05870032,-0.00952964996,3.05870032,-1.82969279,6c475e5e16052496,-1.2578125,8388608.0,43690.6336,8388608.0,8388601.66,9619146c79b6f7c7,8388603.48969279,43690.64312964996,8388604.94129968,no,yes
1,attention_output,576,-0.958395839,3.05870032,-0.00952964996,3.05870032,-5.48907838,3ecd314b96d762aa,-1.2578125,8388608.0,43690.6336,8388608.0,25165805.0,2e6aa35ed8bb5773,25165810.48907838,43690.64312964996,8388604.94129968,no,yes
1,o_proj_output,576,-22.9517155,28.382967,-0.0388010065,28.382967,-22.3493797,6254f4ddf504e983,-78.234375,8388608.0,87379.6341,8388608.0,50330669.2,41f50e8647668349,50330691.54937971,87379.6729010065,8388579.617033,no,yes
1,residual_after_attention,576,-48.9365005,47.1566086,-0.163562616,48.9365005,-94.2120671,9bcb496bc3bdfe94,-1475.02576,8388750.0,174776.043,8388750.0,100671001.0,2879ed50aee2eae4,100671095.2120671,174776.20656261602,8388701.0634995,no,yes
1,after_post_attention_rmsnorm,576,-0.363119632,0.504320204,-0.00592336469,0.504320204,-3.41185806,dc06b0fa39dcce92,-0.000125833918,1.89444518,0.0286090341,1.89444518,16.4788037,3760e6b6dd1ecdb3,19.89066176,0.03453239879,1.390124976,no,yes
1,gate_proj_output,1536,-4.73721409,10.2254515,-0.356597622,10.2254515,-547.733947,baef4cd243d8d776,-2.9609375,8388608.0,21845.2694,8388608.0,33554333.8,48cf0e8dc1ccf4d2,33554881.533947,21845.625997622003,8388597.7745485,no,yes
1,up_proj_output,1536,-4.14121914,3.47207808,-0.0142194391,4.14121914,-21.8410585,7ade67cf373ba60e,-2.93359375,8388608.0,49151.9976,8388608.0,75497468.2,2909ba5bcd67d91c,75497490.0410585,49152.0118194391,8388603.85878086,no,yes
1,silu_swiglu_output,1536,-31.162262,8.47272301,-0.00268250457,31.162262,-4.12032702,7381b988c76785e7,-2332582.25,15457502.0,53128.433,15457502.0,81605273.0,559c1bd7eeb94439,81605277.12032703,53128.43568250457,15457470.837738,no,yes
1,down_proj_output,576,-48.2733269,215.602951,0.361148764,215.602951,208.021688,024d46927d2c41f3,-236.328125,8388608.0,203891.179,8388608.0,117441319.0,f00b827aff1d3db7,117441110.978312,203890.817851236,8388392.397049,no,yes
1,residual_after_mlp,576,-97.2098236,262.759552,0.197586136,262.759552,113.809614,fdedd111b8a15b38,-1498.89685,8388950.0,378667.223,8388950.0,218112321.0,d7949f0be328b40a,218112207.190386,378667.025413864,8388687.240448,no,yes
